Time,FR_q0,FR_q1,FR_q2,FL_q0,FL_q1,FL_q2,RL_q0,RL_q1,RL_q2,RR_q0,RR_q1,RR_q2,FR_t0,FR_t1,FR_t2,FL_t0,FL_t1,FL_t2,RL_t0,RL_t1,RL_t2,RR_t0,RR_t1,RR_t2,foot_0,foot_1,foot_2,foot_3,FR,FL,RR,RL
1.05556,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.06672,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.07697,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.08715,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.09742,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.1076,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.11809,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.12822,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.13836,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.14875,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.15895,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.16935,0.0563162,0.79418,-1.58234,-0.0535912,0.795693,-1.58618,-0.0506846,0.793816,-1.588,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.30078,-1.13672,0.34375,4.59766,-1.35938,0.394531,4.82031,1.30859,0.21875,4.44922,415,461,421,498,1,1,1,1
1.18009,0.0583751,0.793877,-1.58121,-0.0538334,0.797026,-1.58529,-0.051714,0.793392,-1.58707,0.0581934,0.80181,-1.58069,2.66797,-0.492188,8.38281,0.195312,3.90625,-5.97266,-2.51953,-0.640625,9.46094,0,3.88281,-6.15625,413,463,421,498,1,1,1,1
1.19025,0.0583751,0.793877,-1.58121,-0.0538334,0.797026,-1.58529,-0.051714,0.793392,-1.58707,0.0581934,0.80181,-1.58069,2.66797,-0.492188,8.38281,0.195312,3.90625,-5.97266,-2.51953,-0.640625,9.46094,0,3.88281,-6.15625,413,463,421,498,1,1,1,1
1.20064,0.0583751,0.793877,-1.58121,-0.0538334,0.797026,-1.58529,-0.051714,0.793392,-1.58707,0.0581934,0.80181,-1.58069,2.66797,-0.492188,8.38281,0.195312,3.90625,-5.97266,-2.51953,-0.640625,9.46094,0,3.88281,-6.15625,413,463,421,498,1,1,1,1
1.21138,0.0564373,0.800477,-1.57015,-0.0647939,0.956467,-1.91568,-0.052804,0.797692,-1.575,0.0643095,0.963552,-1.91172,3.98047,0.246094,8.94141,0.960938,-0.320312,2.78125,-2.71875,0.046875,9.90625,-1.62891,-0.21875,2,669,98,111,909,1,0,0,1
1.22368,0.0564373,0.800477,-1.57015,-0.0647939,0.956467,-1.91568,-0.052804,0.797692,-1.575,0.0643095,0.963552,-1.91172,3.98047,0.246094,8.94141,0.960938,-0.320312,2.78125,-2.71875,0.046875,9.90625,-1.62891,-0.21875,2,669,98,111,909,1,0,0,1
1.23394,0.0564373,0.800477,-1.57015,-0.0647939,0.956467,-1.91568,-0.052804,0.797692,-1.575,0.0643095,0.963552,-1.91172,3.98047,0.246094,8.94141,0.960938,-0.320312,2.78125,-2.71875,0.046875,9.90625,-1.62891,-0.21875,2,669,98,111,909,1,0,0,1
1.24463,0.0564373,0.800477,-1.57015,-0.0647939,0.956467,-1.91568,-0.052804,0.797692,-1.575,0.0643095,0.963552,-1.91172,3.98047,0.246094,8.94141,0.960938,-0.320312,2.78125,-2.71875,0.046875,9.90625,-1.62891,-0.21875,2,669,98,111,909,1,0,0,1
1.25508,0.0551051,0.804958,-1.57112,-0.0569823,1.00122,-2.01592,-0.0594651,0.796844,-1.57411,0.0583751,0.999159,-2.01378,3.36328,2.05078,10.7227,-0.121094,-1.82812,3.74609,-4.03125,3.28906,10.5352,0.0234375,-1.55469,3.63281,762,113,125,697,1,0,0,1
1.26531,0.0551051,0.804958,-1.57112,-0.0569823,1.00122,-2.01592,-0.0594651,0.796844,-1.57411,0.0583751,0.999159,-2.01378,3.36328,2.05078,10.7227,-0.121094,-1.82812,3.74609,-4.03125,3.28906,10.5352,0.0234375,-1.55469,3.63281,762,113,125,697,1,0,0,1
1.27552,0.0551051,0.804958,-1.57112,-0.0569823,1.00122,-2.01592,-0.0594651,0.796844,-1.57411,0.0583751,0.999159,-2.01378,3.36328,2.05078,10.7227,-0.121094,-1.82812,3.74609,-4.03125,3.28906,10.5352,0.0234375,-1.55469,3.63281,762,113,125,697,1,0,0,1
1.28568,0.0551051,0.804958,-1.57112,-0.0569823,1.00122,-2.01592,-0.0594651,0.796844,-1.57411,0.0583751,0.999159,-2.01378,3.36328,2.05078,10.7227,-0.121094,-1.82812,3.74609,-4.03125,3.28906,10.5352,0.0234375,-1.55469,3.63281,762,113,125,697,1,0,0,1
1.2969,0.0606156,0.802839,-1.56934,-0.0525012,0.83572,-1.66575,-0.0532279,0.796965,-1.57375,0.0336686,0.831905,-1.65392,3.14062,0.246094,7.56641,0.394531,6.18359,-2.1875,-3.95703,0.738281,9.38672,0.492188,6.82422,-2.07422,533,111,123,672,1,0,0,1
1.30724,0.0606156,0.802839,-1.56934,-0.0525012,0.83572,-1.66575,-0.0532279,0.796965,-1.57375,0.0336686,0.831905,-1.65392,3.14062,0.246094,7.56641,0.394531,6.18359,-2.1875,-3.95703,0.738281,9.38672,0.492188,6.82422,-2.07422,533,111,123,672,1,0,0,1
1.31748,0.0606156,0.802839,-1.56934,-0.0525012,0.83572,-1.66575,-0.0532279,0.796965,-1.57375,0.0336686,0.831905,-1.65392,3.14062,0.246094,7.56641,0.394531,6.18359,-2.1875,-3.95703,0.738281,9.38672,0.492188,6.82422,-2.07422,533,111,123,672,1,0,0,1
